Session,Class,Course Title,Instructor,Date,Start Time,End Time,Building & Room,Campus
Spring 2025,EENG 212 M01,Elect Cir I Tls,Santhanakrishnan,05/15/2025,5:30:00 PM,8:10:00 PM,"Guiliano Global Ctr., Rm. 903",New York City
Spring 2025,EENG 212 W01,Elect Cir I Tls,Wadoo,05/13/2025,5:45:00 PM,8:24:00 PM,"Anna Rubin Hall, Rm. 316",Long Island
Spring 2025,EENG 221 M01,Comput/Engr Tools,Santhanakrishnan,05/15/2025,8:20:00 PM,9:09:00 PM,"Guiliano Global Ctr., Rm. 903",New York City
Spring 2025,EENG 221 W01,Comput/Engr Tools,Wadoo,05/13/2025,8:35:00 PM,9:30:00 PM,"Harry J. Schure Hall, Rm. B11",Long Island
Spring 2025,EENG 270 M01,Electronics I,Saito,05/16/2025,12:45:00 PM,2:45:00 PM,"Guiliano Global Ctr., Rm. 408",New York City
Spring 2025,EENG 270 W01,Electronics I,Ilyas,05/15/2025,12:45:00 PM,2:45:00 PM,"Harry J. Schure Hall, Rm. 102",Long Island
Spring 2025,EENG 275 M01,Electronics Laboratory I,Alghazali,05/12/2025,5:30:00 PM,8:10:00 PM,"Guliano Global Ctr., Rm. 904",New York City
Spring 2025,EENG 275 W01,Electronics Laboratory I,Ilyas,05/15/2025,12:45:00 PM,2:45:00 PM,"Harry J. Schure Hall, Rm. B11",Long Island
Spring 2025,EENG 281 M01,Electrical Circuits II,Artan,05/15/2025,12:45:00 PM,2:45:00 PM,"Guiliano Global Ctr., Rm. 406",New York City
Spring 2025,EENG 281 W01,Electrical Circuits II,Belkharraz,05/15/2025,5:45:00 PM,8:24:00 PM,"Harry J. Schure Hall, Rm. 118",Long Island
Spring 2025,EENG 310 M01,Electronics II,Karmakar,05/12/2025,5:45:00 PM,8:24:00 PM,"16 W. 61st St., Rm. 722",New York City
Spring 2025,EENG 310 W01,Electronics II,Karmakar,05/12/2025,5:45:00 PM,8:24:00 PM,"Harry J. Schure Hall, Rm. 230",Long Island
Spring 2025,EENG 315 M01,Electronics Laboratory II,Makdisi,05/15/2025,5:30:00 PM,8:10:00 PM,"Guliano Global Ctr., Rm. 904",New York City
Spring 2025,EENG 315 W01,Electronics Laboratory II,Jafari,05/16/2025,10:30:00 AM,12:30:00 PM,"Harry J. Schure Hall, Rm. B11",Long Island
Spring 2025,EENG 320 M01,Control Systems,Wadoo,05/16/2025,12:45:00 PM,2:45:00 PM,"16 W. 61st St., Rm. 722",New York City
Spring 2025,EENG 320 W01,Control Systems,Wadoo,05/16/2025,12:45:00 PM,2:45:00 PM,"Harry J. Schure Hall, Rm. 216B",Long Island
Spring 2025,EENG 330 M01,Electromagnetic Theory I,Wernicki,05/13/2025,3:00:00 PM,5:00:00 PM,"Guiliano Global Ctr., Rm. 606",New York City
Spring 2025,EENG 330 W01,Electromagnetic Theory I,Wadoo,05/14/2025,3:00:00 PM,5:00:00 PM,"Harry J. Schure Hall, Rm. 220",Long Island
Spring 2025,EENG 341 M01,Signals and Systems,Dong,05/15/2025,12:45:00 PM,2:45:00 PM,"Guiliano Global Ctr., Rm. 408",New York City
Spring 2025,EENG 341 W01,Signals and Systems,Jafari,05/14/2025,5:45:00 PM,8:24:00 PM,"Harry J. Schure Hall, Rm. 118",Long Island
Spring 2025,EENG 360 M01,Electronics Laboratory III,Makdisi,05/15/2025,12:45:00 PM,2:45:00 PM,"Guliano Global Ctr., Rm. 904",New York City
Spring 2025,EENG 360 W02,Electronics Laboratory III,Marsicano,05/16/2025,5:00:00 PM,7:50:00 PM,"Harry J. Schure Hall, Rm. B12",Long Island
Spring 2025,EENG 371 M01,Microprocessors & Embedded Sys,Ting,05/13/2025,5:30:00 PM,8:10:00 PM,"Guiliano Global Ctr., Rm. 903",New York City
Spring 2025,EENG 371 W01,Microprocessors & Embedded Sys,Ting,05/12/2025,5:45:00 PM,8:24:00 PM,"Harry J. Schure Hall, Rm. B14B",Long Island
Spring 2025,EENG 382 M01,Random Signals and Statistics,Wernicki,05/14/2025,10:30:00 AM,12:30:00 PM,"Guiliano Global Ctr., Rm. 408",New York City
Spring 2025,EENG 382 W01,Random Signals and Statistics,Jafari,05/15/2025,5:45:00 PM,8:24:00 PM,"Harry J. Schure Hall, Rm. 220",Long Island
